Title,News,Link,FeedType
['LIVE: Rishiganga hydro project washed away by Uttarakhand glacier burst'],There is no danger of floods in the downstream areas as the water level has been contained.,https://www.business-standard.com/article/current-affairs/latest-news-live-pm-modi-to-launch-infrastructure-projects-in-bengal-assam-today-121020700057_1.html,— Business Standard
['Glacial burst in Uttarakhand a grim reminder of 2013 Kedarnath deluge'],The massive flood in the Dhauli Ganga river triggered by a glacial burst in Uttarakhand's Chamoli district on Sunday came as a grim reminder of the Kedarnath deluge of 2013,https://www.business-standard.com/article/current-affairs/glacial-burst-in-uttarakhand-a-grim-reminder-of-2013-kedarnath-deluge-121020700694_1.html,— Business Standard
"[""Coronavirus LIVE: India to fulfill world's 70% vaccine needs, says Shah""]","Coronavirus LIVE updates: Globally, more than 106.3 million people have been infected by the virus and the death toll stands at 2,318,841",https://www.business-standard.com/article/current-affairs/coronavirus-live-updates-covid-19-india-and-world-cases-corona-vaccine-news-121020700045_1.html,— Business Standard
['Uttarakhand glacier burst LIVE: ITPB rescues all 16 trapped in tunnel'],"At least nine bodies have been recovered from the NTPC site in the Tapovan area following the glacier burst in Chamoli district of Uttarakhand, ITPB said",https://www.business-standard.com/article/current-affairs/latest-news-live-pm-modi-to-launch-infrastructure-projects-in-bengal-assam-today-121020700057_1.html,— Business Standard
['Uttarakhand glacier blast: State CM announces Rs 4 lakh for kin of deceased'],"Says rescue teams in place, ITBP, doctors, helicopters mobilised to bring people to safety and attend to medical needs. Villages on banks of the Alakananda and Ganga evacuated",https://www.business-standard.com/article/current-affairs/uttarakhand-glacier-blast-state-cm-announces-rs-4-lakh-for-kin-of-deceased-121020700683_1.html,— Business Standard
"['Edelweiss Wealth Management targets to raise Rs 1,000 crore for equity-focused AIF']"," Over the next few months, it plans to go overseas for widening its asset under management pool through the AIF.",https://economictimes.indiatimes.com/markets/stocks/news/edelweiss-wealth-management-targets-to-raise-rs-1000-crore-for-equity-focused-aif/articleshow/80735884.cms,— Economic Times
"['Mutual funds withdraw Rs 12,980 crore from equities in January']","Overall, mutual funds withdrew a net of over Rs 56,400 crore in 2020, data available with the Securities and Exchange Board of India (Sebi) showed.",https://economictimes.indiatimes.com/markets/stocks/news/mutual-funds-withdraw-rs-12980-crore-from-equities-in-january/articleshow/80735832.cms,— Economic Times
"['34 aerospace, defence firms plan to invest nearly Rs 2,500 cr in Karnataka']","As many as 34 aerospace and defence firms have shown interest in investing in Karnataka to spur aviation business in the southern state, an official said on Sunday.",https://www.business-standard.com/article/companies/34-aerospace-defence-firms-plan-investments-worth-rs-2-464-cr-in-karnataka-121020700587_1.html,— Business Standard
"['Govt eyeing 1,000 routes under UDAN from 100 underserved airports: Puri']",He also said that privatisation is required in the field of aviation as it is not the government's specialisation to run airports,https://www.business-standard.com/article/pti-stories/govt-targets-1-000-routes-under-udan-scheme-puri-121020700573_1.html,— Business Standard
['Trade Setup: Nifty prone to correction; volatility likely to shoot up'],​The pattern analysis of the daily chart shows that Nifty faces a short-term pattern resistance in the form of a rising trend line drawn from the previous high point from where it saw a major corrective move.,https://economictimes.indiatimes.com/markets/stocks/news/trade-setup-nifty-prone-to-correction-volatility-likely-to-increase/articleshow/80734910.cms,— Economic Times
"['LIVE: Host farmers at your house like you treated Obama, Owaisi tells PM']","Farmers' protest LIVE updates: 'Will return home only after the government repeals the contentious legislations', said Rakesh Tikait",https://www.business-standard.com/article/current-affairs/farmers-protests-live-updates-rakesh-tikait-calls-on-farmers-for-tractor-revolution-121020700046_1.html,— Business Standard
